#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,awesome,"is the main graphical user interface and window manager."
,ttf-jetbrains-mono,"is the best font for devs"
,gdb,"is the GNU Debugger"
,picom,"is for window opacity"
,gimp,"is an image editor"
,vlc,"is a video player"
,slock,"is a sreenlocker"
,dmenu,"is dmenu"
,fzf,"is a fuzzy finder"
,p7zip,"to deal with zip files"
,fish,"is a user friendly shell"
,xclip,"is a tool to copy and paste using system's clipboard"
,ripgrep,"grep written in rust"
,python-pip,"pip tool for python 3."
,libimobiledevice,"mobile devices usb recognition."
,audacity,"sound edition software."
A,discord,"is a voice and text chat for gamers that's free and secure"
A,visual-studio-code-bin,"is Visual Studio Code (vscode) editor"
,gparted,"is a disk utility"
,mlocate,"is a command line tool to locate things"
,tree,"lists directory contents like trees. Used by vifm."
,libnotify,"allows desktop notifications."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,firefox-developer-edition,"is a program your girlfriend has never heard of."
,ntfs-3g,"allows accessing NTFS partitions."
,htop,"provides system usage information and displays processes."
,maim,"can take quick screenshots at your request."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,zathura,"is a pdf viewer with vim-like bindings."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,zathura-pdf-poppler,"zathura's poppler plugin"
G,https://github.com/Pioterr/dot_files.git,"my dot files."
,nvidia,"is for the graphicals settings"
,nvidia-settings,"is also for the graphicals settings"
